Element;Atomic number Z;Massa molar;World production (tons per year);World reserves (tons);Recyclability rate of Li-ion batteries;min Primary CO2 footprint (kg/kg);max primary CO2 footprint  (kg/kg);min primary energy footprint (MJ/kg);max primary energy footprint (MJ/kg);min primary water usage (l/kg);max primary water usage (l/kg);Sourcing and Geopolitical risk (HHI);Environmental risk (HHI);Price volatility;Materials raw price ($/ton);References world production and reserves;;References for recycling rate;References for price
-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;;;;
-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;;;;
Li;3;6.94;77000;15115000;5%;17.8;19.6;495;546;451;498;1.09;0.9;13%;13000;https://www-statista-com.bases-doc.univ-lorraine.fr/study/40094/lithium-statista-dossier/;https://www-statista-com.bases-doc.univ-lorraine.fr/statistics/268790/countries-with-the-largest-lithium-reserves-worldwide/;https://www.wired.com/story/the-race-to-crack-battery-recycling-before-its-too-late/#:~:text=But%20it%20is%20simple%2C%20and,up%20in%20a%20smelting%20furnace.;https://pubs.usgs.gov/periodicals/mcs2020/mcs2020-lithium.pdf
-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;;;;
-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;;;;
-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;;;;
-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;;;;
O;8;16;-;-;-;0.39;0.429;8.36;9.22;-;-;0;0;-;-;-;-;-;-
F;9;19;4639016.949;12710000000;5%;10.8;11.9;225;248;407;407;0;0;-;300;https://www-statista-com.bases-doc.univ-lorraine.fr/statistics/1051717/global-fluorspar-production-by-country/;https://www-statista-com.bases-doc.univ-lorraine.fr/statistics/270406/distribution-of-fluorspar-reserves-worldwide-by-country/;https://www.wired.com/story/the-race-to-crack-battery-recycling-before-its-too-late/#:~:text=But%20it%20is%20simple%2C%20and,up%20in%20a%20smelting%20furnace.;https://www.statista.com/statistics/1051742/fluorspar-price-us/#:~:text=The%20average%20price%20of%20fluorspar,mineral%20form%20of%20calcium%20fluoride.
-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;;;;
-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;;;;
-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;;;;
Al;13;26.98;61000000;7000000000;5%;12.3;13.6;190;209;959;1060;1.62;1.49;57.2%;1700;https://www.statista.com/statistics/271671/countries-with-largest-bauxite-reserves/;https://www-statista-com.bases-doc.univ-lorraine.fr/statistics/1038471/global-aluminum-production-by-region/;https://www.wired.com/story/the-race-to-crack-battery-recycling-before-its-too-late/#:~:text=But%20it%20is%20simple%2C%20and,up%20in%20a%20smelting%20furnace.;https://www.statista.com/statistics/675845/average-prices-aluminum-worldwide/#:~:text=This%20statistic%20depicts%20the%20average,U.S.%20dollars%20per%20metric%20ton.
-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;;;;
